;AvrBs2;XB3;XopAE;XopAG;XopAK;XopAO1;XopC2;XopE1;XopE4;XopK;XopL;XopN;XopQ;XopR;XopV;XopZ;;;
Rap1 signaling pathway;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
MAPK signaling pathway;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;;;
MAPK signaling pathway - fly;0;1;1;0;0;0;1;1;0;1;0;0;0;1;0;0;;;
MAPK signaling pathway - plant;4;2;4;3;3;1;1;1;2;1;1;1;2;2;2;2;;;
MAPK signaling pathway - yeast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
Wnt signaling pathway;1;0;0;4;2;0;1;3;0;1;0;0;0;1;0;0;;;
Hedgehog signaling pathway;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;;;
TGF-beta signaling pathway;1;2;0;1;1;0;0;0;1;0;0;0;1;1;1;0;;;
Hippo signaling pathway;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Hippo signaling pathway - fly;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Hippo signaling pathway - multiple species;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Apelin signaling pathway;2;1;1;0;1;0;0;1;0;0;0;0;1;1;1;0;;;
NF-kappa B signaling pathway;0;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;;;
HIF-1 signaling pathway;2;0;1;3;1;1;0;1;2;0;0;1;1;0;2;0;;;
FoxO signaling pathway;2;1;1;0;1;0;0;1;0;0;0;0;0;1;1;0;;;
Calcium signaling pathway ;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Phosphatidylinositol signaling system;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;;;
Phospholipase D signaling pathway;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
Sphingolipid signaling pathway;1;1;1;1;0;0;0;0;2;0;0;0;0;0;1;0;;;
PI3K-Akt signaling pathway;0;2;1;0;1;0;0;0;0;0;0;1;0;0;0;0;;;
cAMP signaling pathway;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;;;
cGMP-PKG signaling pathway ;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
AMPK signaling pathway;2;4;2;2;2;0;0;3;2;0;0;0;0;1;3;1;;;
mTOR signaling pathway;1;1;3;2;2;0;0;1;0;0;0;1;1;0;1;0;;;
Plant hormone signal transduction;4;1;5;4;5;0;0;1;2;1;0;0;2;1;0;0;;;
Neuroactive ligand-receptor interaction;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;;;
Endocytosis;2;4;0;1;1;0;0;0;2;0;0;0;0;0;3;1;;;
Phagosome;3;1;3;3;2;0;0;1;1;0;0;1;1;0;3;0;;;
Lysosome;6;5;8;7;5;2;0;2;6;0;1;0;3;1;6;0;;;
Peroxisome;0;0;0;3;0;0;0;1;1;0;0;0;0;0;0;1;;;
Autophagy - animal;4;3;2;1;2;1;0;0;3;0;0;0;0;1;3;0;;;
Autophagy - yeast;3;1;0;0;0;0;0;0;1;0;0;0;0;1;2;0;;;
Autophagy - other;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
Mitophagy - animal;3;2;0;3;2;0;0;1;1;0;0;0;1;1;2;0;;;
Mitophagy - yeast;1;0;0;2;2;0;1;2;0;0;0;1;0;0;1;0;;;
IL-17 signaling pathway ;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;
Cell cycle;1;2;0;1;1;0;0;0;1;0;0;0;1;1;1;0;;;
Cell cycle - Caulobacter;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Cell cycle - yeast;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Meiosis - yeast ;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Oocyte meiosis ;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Apoptosis;3;3;3;3;1;1;0;1;3;0;0;0;2;1;3;0;;;
Apoptosis - fly;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;;;
Ferroptosis ;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;;;
Necroptosis;1;2;0;1;2;0;0;0;0;1;0;0;0;0;1;0;;;
p53 signaling pathway;0;0;0;0;0;0;2;1;0;1;0;0;0;1;0;0;;;
Cellular senescence;1;1;1;1;0;0;0;1;1;0;0;0;2;1;1;0;;;
Adherens junction;0;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;;;
Tight junction;1;2;1;0;1;0;0;1;0;0;0;0;0;1;1;0;;;
Signaling pathways regulating pluripotency of stem cells;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;;;
Quorum sensing;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;
Biofilm formation - Escherichia coli;1;0;0;1;1;0;1;0;0;0;0;0;0;0;2;0;;;
Regulation of actin cytoskeleton;1;1;1;2;1;1;0;0;1;0;0;0;0;1;2;0;;;
Toll and Imd signaling pathway;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
NOD-like receptor signaling pathway;2;1;1;2;3;1;0;2;1;0;0;0;0;0;1;1;;;
RIG-I-like receptor signaling pathway ;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;
Cytosolic DNA-sensing pathway;1;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;;;
Antigen processing and presentation;2;1;2;3;2;1;0;1;3;0;0;0;0;0;1;0;;;
Fc gamma R-mediated phagocytosis;1;1;0;1;1;1;0;0;1;0;0;0;0;1;2;0;;;
C-type lectin receptor signaling pathway;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Insulin signaling pathway;3;2;1;2;3;0;0;2;1;0;0;1;1;1;3;1;;;
Glucagon signaling pathway;5;2;3;4;3;0;1;3;3;1;0;1;2;1;4;2;;;
GnRH signaling pathway;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Regulation of lipolysis in adipocytes;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;;;
Adipocytokine signaling pathway;1;1;1;0;1;0;0;1;0;0;0;0;0;1;1;0;;;
PPAR signaling pathway;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;1;;;
Estrogen signaling pathway;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;;;
Progesterone-mediated oocyte maturation;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Oxytocin signaling pathway;1;2;2;1;1;0;0;2;1;0;0;0;1;1;2;0;;;
Thyroid hormone synthesis;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;;;
Thyroid hormone signaling pathway;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;
Parathyroid hormone synthesis, secretion and action ;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;
Melanogenesis;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Renin secretion;1;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;;;
Renin-angiotensin system;1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;;;
Aldosterone synthesis and secretion;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Vascular smooth muscle contraction;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Cardiac muscle contraction;0;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0;;;
Adrenergic signaling in cardiomyocytes;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Salivary secretion;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Gastric acid secretion;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Pancreatic secretion;1;0;1;0;1;0;0;0;0;0;0;1;1;1;1;0;;;
Carbohydrate digestion and absorption;1;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;;;
Protein digestion and absorption;1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;;;
Vitamin digestion and absorption;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;;;
Bile secretion;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;
Cholesterol metabolism;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;;;
Mineral absorption;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;;;
Vasopressin-regulated water reabsorption;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;
Endocrine and other factor-regulated calcium reabsorption;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;
Proximal tubule bicarbonate reclamation;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;
Dopaminergic synapse;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Long-term depression;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Collecting duct acid secretion;2;0;3;3;1;0;0;1;0;0;0;1;1;0;2;0;;;
Dopaminergic synapse;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Long-term potentiation;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
GABAergic synapse;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Retrograde endocannabinoid signaling;1;0;1;4;0;0;0;1;0;0;0;0;1;1;0;1;;;
Synaptic vesicle cycle;2;0;3;3;1;1;0;1;1;0;0;1;1;0;2;0;;;
Axon guidance;1;1;0;1;1;1;0;0;1;0;0;0;0;1;1;0;;;
Axon regeneration;1;1;1;1;2;0;0;0;0;0;0;0;0;1;0;0;;;
Neurotrophin signaling pathway;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Phototransduction;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Phototransduction - fly;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Olfactory transduction;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Inflammatory mediator regulation of TRP channels;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Osteoclast differentiation;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Longevity regulating pathway;1;1;1;0;1;0;0;1;0;0;0;0;0;1;1;0;;;
Longevity regulating pathway - worm;2;1;2;2;0;0;0;1;1;0;0;0;1;0;0;0;;;
Longevity regulating pathway - multiple species;1;1;1;0;1;0;0;1;0;0;0;0;0;1;1;0;;;
Circadian entrainment;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;
Circadian rhythm;1;1;1;0;1;0;0;1;0;0;0;0;0;1;1;0;;;
Circadian rhythm - plant;1;0;1;3;4;0;0;1;1;0;0;0;0;0;1;0;;;
Thermogenesis;4;4;5;6;3;0;0;3;1;0;0;0;1;2;3;1;;;
Plant-pathogen interaction;4;3;3;3;4;1;2;2;3;1;1;3;3;1;3;1;;;
Pathways in cancer;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;0;;;
MicroRNAs in cancer;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;;;
Proteoglycans in cancer;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;
Chemical carcinogenesis;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;;;
Viral carcinogenesis;2;0;2;2;1;0;1;1;1;1;0;2;1;1;2;1;;;
Central carbon metabolism in cancer;2;1;3;3;0;0;1;1;3;1;0;1;1;0;2;1;;;
